,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Colombia,0.0,2.0,0.0,20.0,1.0,3.0,59.0,0.0,9.0,8.0,12.0,3.0,0.0,3.0,0.0,23.0,0.0,1680.0,0.0,0.0,17.0,10.0,74.0,15.0,0.0,63.0,1.0,24.0,12.0,0.0,1.0,30.0,27.0,1.0,0.0,1.0,1.0,25.0,4.0,2.0,1.0,6.0,2.0,0.0,35.0,27.0,20.0,0.0,20.0,8.0,2.0,0.0,60.0,0.0,0.0,0.0,2.0,4.0,8.0,3.0,0.0,0.0,2.0,0.0,32.0,41.0,2.0,82.0,3.0,2.0,0.0,1.0,2.0,2.0,5.0,0.0,4.0,14.0,13.0,0.0,19.0,9.0,5.0,2.0,25.0,28.0,23.0,23.0,47.0,4.0,1.0,2.0,0.0,2.0,2.0,10.0,3.0,34.0,4.0,1.0,2.0,9.0,0.0,1.0,0.0,2.0,20.0,0.0,8.0,8.0,0.0,2.0,0.0,12.0,63.0
Poland,0.0,1.0,0.0,122.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,9.0,0.0,576.0,0.0,0.0,8.0,5.0,1.0,43.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,21.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,7.0,10.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,13.0,0.0,15.0,1.0,1.0,53.0,0.0,5.0,6.0,0.0,1.0,2.0,0.0,4.0,7.0,2.0,40.0,1.0,8.0,2.0,5.0,0.0,10.0,4.0,7.0,9.0,93.0,0.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,3.0,0.0,0.0,287.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,6.0
Greece,0.0,3.0,0.0,7.0,0.0,3.0,3.0,0.0,85.0,0.0,1.0,2.0,0.0,4.0,0.0,135.0,0.0,3818.0,2.0,0.0,15.0,4.0,7.0,1.0,0.0,255.0,1.0,14.0,1.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,73.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,8.0,2.0,2.0,18.0,2.0,1.0,0.0,69.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,37.0,21.0,4.0,163.0,9.0,1.0,0.0,0.0,1.0,25.0,1.0,1.0,19.0,4.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,38.0,36.0,10.0,6.0,0.0,1.0,1.0,0.0,20.0,0.0,20.0,0.0,14.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,14.0,0.0,21.0,17.0,3.0,30.0,1.0,5.0,14.0
Ukraine,0.0,4.0,0.0,20.0,1.0,26.0,2.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,36.0,0.0,1358.0,0.0,0.0,22.0,6.0,6.0,12.0,0.0,43.0,1.0,9.0,10.0,0.0,5.0,0.0,20.0,0.0,0.0,2.0,0.0,70.0,2.0,0.0,0.0,2.0,0.0,0.0,27.0,20.0,5.0,0.0,3.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,30.0,0.0,10.0,65.0,0.0,295.0,4.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,8.0,17.0,0.0,62.0,4.0,0.0,0.0,54.0,9.0,26.0,7.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,18.0,7.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,106.0,2.0,11.0,7.0,0.0,12.0,0.0,19.0,11.0
Malta,0.0,1.0,0.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,432.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,7.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,123.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
Congo,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,84.0,0.0,12.0,13.0,134.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,941.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.0,17.0,4.0,138.0,18.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,2.0,33.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,38.0,5.0,1.0,0.0,1.0,5.0,0.0,1.0,4.0,18.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,1.0,0.0,60.0,4.0
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,169.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
Kazakhstan,0.0,5.0,0.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,15.0,0.0,233.0,0.0,0.0,7.0,3.0,2.0,3.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,6.0,0.0,12.0,5.0,0.0,1.0,2.0,3.0,25.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0
Finland,0.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,327.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,11.0,2.0,27.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,10.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,0.0,5.0,0.0
Kuwait,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Syrian Arab Republic,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,13.0,0.0,311.0,0.0,0.0,0.0,0.0,2.0,135.0,0.0,15.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,8.0,10.0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0
Netherlands,0.0,3.0,2.0,169.0,3.0,17.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,2.0,44.0,0.0,1271.0,0.0,0.0,51.0,11.0,9.0,4.0,1.0,35.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,3.0,0.0,5.0,16.0,3.0,3.0,5.0,1.0,0.0,6.0,43.0,21.0,0.0,19.0,3.0,0.0,0.0,73.0,0.0,0.0,1.0,10.0,1.0,3.0,0.0,1.0,0.0,56.0,0.0,14.0,32.0,0.0,82.0,34.0,7.0,0.0,0.0,2.0,9.0,4.0,6.0,8.0,25.0,13.0,22.0,16.0,81.0,6.0,1.0,27.0,5.0,39.0,19.0,32.0,0.0,1.0,2.0,0.0,4.0,7.0,12.0,0.0,18.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,28.0,0.0,10.0,10.0,2.0,5.0,0.0,11.0,38.0
Nepal,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,213.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,3.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,12.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,11.0,18.0,15.0,0.0,0.0,3.0,4.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,1.0,8.0,0.0,132.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,6.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,2.0,2.0,44.0,0.0,4.0,1.0,0.0,15.0,1.0,5.0,2.0,25.0,14.0,1.0,23.0,0.0,847.0,0.0,0.0,21.0,10.0,3.0,13.0,0.0,38.0,1.0,25.0,0.0,0.0,7.0,0.0,43.0,0.0,0.0,2.0,0.0,7.0,5.0,5.0,3.0,13.0,3.0,0.0,9.0,13.0,30.0,1.0,27.0,3.0,0.0,0.0,109.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,23.0,0.0,12.0,12.0,1.0,51.0,8.0,2.0,0.0,0.0,10.0,9.0,1.0,0.0,15.0,9.0,33.0,3.0,9.0,42.0,3.0,1.0,12.0,8.0,13.0,10.0,59.0,0.0,0.0,1.0,0.0,4.0,4.0,12.0,0.0,20.0,34.0,2.0,0.0,8.0,0.0,6.0,0.0,0.0,25.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,22.0
Cuba,0.0,1.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,30.0,1.0,5.0,0.0,1800.0,0.0,1.0,12.0,1.0,65.0,12.0,0.0,85.0,5.0,5.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,5.0,0.0,22.0,5.0,0.0,0.0,32.0,0.0,0.0,3.0,80.0,42.0,0.0,12.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,6.0,16.0,1.0,34.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,6.0,10.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,26.0,9.0,2.0,0.0,28.0,0.0,0.0,1.0,0.0,14.0,0.0,22.0,2.0,0.0,23.0,6.0,0.0,5.0,0.0,0.0,9.0,0.0,20.0,2.0,0.0,1.0,0.0,23.0,37.0
Belgium,0.0,1.0,1.0,165.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,4.0,1.0,59.0,0.0,1854.0,0.0,0.0,13.0,10.0,5.0,8.0,0.0,96.0,0.0,13.0,1.0,0.0,4.0,1.0,54.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,4.0,3.0,0.0,0.0,5.0,32.0,23.0,0.0,15.0,8.0,1.0,0.0,171.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,24.0,13.0,2.0,90.0,4.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,6.0,10.0,0.0,5.0,12.0,0.0,0.0,8.0,24.0,22.0,12.0,31.0,0.0,0.0,2.0,1.0,5.0,5.0,5.0,0.0,24.0,3.0,11.0,5.0,2.0,1.0,1.0,2.0,1.0,16.0,0.0,7.0,3.0,0.0,7.0,0.0,14.0,25.0
Lebanon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,522.0,0.0,0.0,0.0,1.0,0.0,263.0,0.0,7.0,0.0,64.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,31.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,74.0,3.0,8.0,0.0,929.0,0.0,0.0,5.0,0.0,7.0,178.0,0.0,59.0,0.0,227.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,61.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,20.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,149.0,51.0,1.0,23.0,9.0,1.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,2.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,21.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,4.0,16.0,0.0,0.0,0.0,7.0,6.0
"Korea, Republic of",0.0,8.0,0.0,50.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,26.0,0.0,773.0,0.0,0.0,26.0,0.0,3.0,2.0,0.0,18.0,0.0,28.0,2.0,0.0,1.0,1.0,19.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,2.0,6.0,5.0,0.0,11.0,15.0,10.0,1.0,4.0,0.0,1.0,0.0,71.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,2.0,10.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,9.0,5.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,8.0,3.0,7.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,1.0,0.0,191.0,0.0,2.0,10.0
Afghanistan,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,26.0,1.0,1119.0,0.0,0.0,11.0,0.0,11.0,168.0,1.0,56.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,73.0,8.0,0.0,2.0,2.0,0.0,0.0,17.0,23.0,9.0,0.0,5.0,4.0,0.0,0.0,43.0,2.0,0.0,0.0,4.0,22.0,6.0,2.0,0.0,0.0,1.0,0.0,5.0,42.0,5.0,403.0,5.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,5.0,274.0,2.0,14.0,9.0,0.0,0.0,7.0,10.0,5.0,20.0,16.0,0.0,0.0,2.0,0.0,7.0,2.0,20.0,0.0,33.0,17.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,49.0,0.0,12.0,10.0,5.0,1.0,0.0,3.0,3.0
Belarus,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,613.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,10.0,1.0,1.0,2.0,0.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,10.0,3.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,0.0,31.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,23.0,6.0,0.0,50.0,3.0,0.0,0.0,8.0,3.0,14.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,5.0,6.0,0.0,4.0,0.0,5.0,4.0
Mongolia,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,89.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,42.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,61.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
