,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cuba,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,14.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,43.0,16.0,0.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,21.0,4.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,41.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,1.0,0.0,0.0,0.0,9.0,42.0
Central African Republic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,1.0,0.0,0.0,0.0,16.0,1.0
Indonesia,0.0,7.0,1.0,8.0,5.0,18.0,11.0,0.0,2.0,6.0,1.0,17.0,10.0,6.0,0.0,53.0,0.0,3.0,0.0,0.0,12.0,8.0,181.0,11.0,1.0,45.0,1.0,6.0,2.0,0.0,1.0,0.0,42.0,0.0,0.0,3.0,0.0,20.0,3.0,1.0,8.0,3.0,0.0,1.0,47.0,50.0,39.0,0.0,31.0,3.0,1.0,0.0,86.0,0.0,0.0,1.0,6.0,11.0,22.0,17.0,0.0,0.0,0.0,0.0,8.0,64.0,1.0,107.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,13.0,29.0,0.0,49.0,2.0,4.0,0.0,16.0,22.0,2.0,45.0,8.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,38.0,13.0,0.0,9.0,6.0,0.0,4.0,7.0,0.0,45.0,0.0,13.0,3.0,0.0,0.0,0.0,31.0,63.0
Mozambique,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,19.0,0.0,2.0,1373.0,4.0,43.0,0.0,0.0,0.0,8.0,5.0,0.0,6.0,0.0,0.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,12.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,7.0,6.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,650.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,28.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,31.0,0.0,89.0,7.0,0.0,0.0,0.0,9.0,23.0
Lesotho,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Guinea,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,15.0,340.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,16.0,1.0,0.0,0.0,0.0,3.0,5.0
Jersey,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,34.0,0.0,2.0,31.0,0.0,14.0,3.0,2.0,0.0,36.0,11.0,0.0,8.0,4.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,14.0,0.0,4.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,53.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,5.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,11.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,7.0
Botswana,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Malta,0.0,2.0,0.0,1.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,81.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,8.0,0.0,0.0,3.0,1.0
El Salvador,0.0,9.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,2.0,0.0,0.0,0.0,3.0,54.0
Côte d'Ivoire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,1.0
American Samoa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Myanmar,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,26.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,10.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0,1.0,6.0,1.0,0.0,0.0,72.0,1.0,0.0,1.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,2.0,20.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,55.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0
Rwanda,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,10.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,3.0
Colombia,0.0,0.0,1.0,4.0,0.0,5.0,44.0,0.0,2.0,15.0,11.0,27.0,1.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,1.0,133.0,33.0,0.0,20.0,0.0,31.0,1.0,0.0,1.0,11.0,20.0,0.0,0.0,0.0,0.0,26.0,7.0,0.0,0.0,5.0,10.0,0.0,32.0,31.0,14.0,0.0,10.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,11.0,19.0,5.0,0.0,0.0,0.0,0.0,2.0,113.0,0.0,80.0,4.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,6.0,10.0,0.0,15.0,2.0,3.0,0.0,25.0,7.0,0.0,48.0,14.0,0.0,5.0,2.0,0.0,3.0,1.0,5.0,0.0,22.0,6.0,2.0,0.0,27.0,0.0,1.0,2.0,0.0,40.0,0.0,11.0,10.0,0.0,1.0,0.0,15.0,112.0
Benin,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,45.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,1.0
Philippines,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,0.0,99.0,0.0,4.0,0.0,0.0,17.0,0.0,520.0,4.0,0.0,26.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,162.0,3.0,0.0,1.0,2.0,0.0,0.0,7.0,20.0,12.0,0.0,2.0,0.0,2.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,556.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,31.0,0.0,119.0,2.0,0.0,0.0,9.0,35.0,0.0,12.0,3.0,8.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,15.0,0.0,18.0,2.0,0.0,1.0,0.0,8.0,9.0
Réunion,0.0,0.0,1.0,4.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,52.0,12.0,0.0,7.0,33.0,0.0,6.0,0.0,0.0,0.0,0.0,154.0,1.0,0.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,6.0,10.0,0.0,72.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,29.0
Saudi Arabia,0.0,0.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,120.0,5.0,25.0,0.0,124.0,0.0,0.0,7.0,0.0,11.0,166.0,0.0,14.0,1.0,36.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,26.0,10.0,0.0,2.0,0.0,0.0,0.0,24.0,27.0,15.0,0.0,4.0,1.0,0.0,0.0,43.0,1.0,0.0,3.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,1.0,123.0,15.0,1.0,30.0,17.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,5.0,0.0,18.0,0.0,6.0,1.0,1.0,0.0,0.0,7.0,14.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.0,6.0,0.0,3.0,0.0,14.0,12.0
Cameroon,0.0,0.0,12.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,51.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,0.0,24.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0
Vanuatu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Timor-Leste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,35.0,5.0,4.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,46.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,37.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
Dominica,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,38.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,27.0
Denmark,0.0,0.0,0.0,78.0,5.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,18.0,7.0,0.0,56.0,0.0,3.0,0.0,0.0,6.0,19.0,1.0,1.0,0.0,41.0,3.0,13.0,0.0,0.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,3.0,5.0,0.0,0.0,4.0,7.0,19.0,1.0,12.0,4.0,1.0,0.0,48.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,3.0,13.0,0.0,358.0,5.0,1.0,0.0,0.0,19.0,1.0,1.0,4.0,6.0,7.0,30.0,0.0,4.0,6.0,0.0,0.0,2.0,66.0,0.0,5.0,33.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,17.0,7.0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,83.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0
Puerto Rico,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,8.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,26.0,0.0,45.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,22.0,0.0,2.0,3.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,8.0,0.0,23.0,5.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,25.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,0.0,7.0,31.0
Dominican Republic,0.0,0.0,0.0,21.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,2.0,6.0,0.0,15.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,10.0,0.0,10.0,3.0,1.0,0.0,3.0,2.0,0.0,18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,36.0
Palau,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
