,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Papua New Guinea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,83.0,0.0,2.0,10.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0
Ethiopia,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,10.0,4.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,52.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,22.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,6.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,34.0,0.0,14.0,1.0,4.0,0.0,0.0,52.0,6.0
Tunisia,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,69.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,55.0,1.0,6.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,15.0,0.0,0.0,3.0
Angola,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,78.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,4.0,1.0,3.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,1.0,205.0,8.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,22.0,1.0,0.0,0.0,10.0,1.0,1.0,26.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,15.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,100.0,0.0,34.0,1.0,0.0,0.0,2.0,12.0,27.0
Djibouti,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,1.0,0.0,4.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,91.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,49.0,0.0,21.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,14.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,18.0,0.0,5.0,8.0,0.0,6.0,0.0,2.0,2.0
Mali,0.0,1.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,83.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,45.0,5.0,88.0,0.0,8.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,12.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,12.0,2.0,1.0,0.0,32.0,0.0,1.0,2.0,11.0,1.0,18.0,3.0,0.0,0.0,4.0,0.0,0.0,95.0,0.0,97.0,8.0,2.0,0.0,0.0,7.0,0.0,7.0,4.0,4.0,4.0,14.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,11.0,4.0,0.0,1.0,2.0,0.0,3.0,14.0,4.0,0.0,5.0,2.0,0.0,8.0,2.0,21.0,2.0,0.0,0.0,24.0,0.0,16.0,10.0,2.0,2.0,1.0,12.0,1.0
Yemen,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,900.0,3.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,303.0,0.0,65.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,235.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,19.0,4.0,0.0,0.0,0.0,28.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,39.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,16.0,3.0,0.0,0.0,0.0,2.0,10.0
Nigeria,0.0,1.0,0.0,23.0,0.0,0.0,3.0,6.0,3.0,0.0,3.0,3.0,3.0,240.0,2.0,119.0,0.0,3.0,0.0,0.0,18.0,5.0,5.0,1.0,2.0,199.0,2.0,30.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,6.0,0.0,32.0,13.0,3.0,7.0,4.0,56.0,0.0,9.0,79.0,18.0,2.0,26.0,2.0,4.0,0.0,43.0,0.0,0.0,350.0,0.0,1.0,93.0,1.0,4.0,0.0,3.0,0.0,3.0,311.0,5.0,135.0,54.0,6.0,0.0,1.0,0.0,2.0,8.0,2.0,6.0,59.0,186.0,0.0,7.0,9.0,1.0,0.0,7.0,6.0,207.0,70.0,10.0,0.0,2.0,10.0,0.0,4.0,2.0,5.0,0.0,9.0,10.0,0.0,12.0,1.0,5.0,1.0,4.0,1.0,68.0,0.0,109.0,12.0,1.0,1.0,0.0,91.0,12.0
Viet Nam,0.0,0.0,7.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,30.0,0.0,73.0,0.0,4.0,1.0,0.0,10.0,3.0,49.0,1.0,0.0,42.0,1.0,14.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,5.0,0.0,40.0,1.0,0.0,2.0,5.0,1.0,0.0,8.0,38.0,85.0,12.0,9.0,0.0,0.0,0.0,75.0,0.0,0.0,2.0,0.0,2.0,32.0,3.0,0.0,0.0,1.0,0.0,7.0,10.0,0.0,116.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,5.0,0.0,7.0,1.0,1.0,0.0,6.0,28.0,1.0,8.0,23.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,31.0,13.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,6.0,4.0,2.0,0.0,0.0,4.0,23.0
Gabon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Guinea,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,62.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,368.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,29.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,43.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,47.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,1.0,4.0,6.0
Guernsey,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
"Micronesia, Federated States of",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rwanda,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,94.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
Colombia,0.0,0.0,1.0,3.0,0.0,2.0,57.0,0.0,2.0,7.0,8.0,12.0,1.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,1.0,134.0,50.0,0.0,22.0,0.0,28.0,2.0,0.0,2.0,13.0,16.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,5.0,10.0,0.0,29.0,27.0,10.0,0.0,8.0,1.0,0.0,1.0,48.0,0.0,0.0,0.0,1.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,101.0,0.0,122.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,8.0,0.0,22.0,1.0,4.0,0.0,23.0,2.0,0.0,37.0,16.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,0.0,19.0,10.0,1.0,0.0,14.0,1.0,0.0,1.0,0.0,47.0,0.0,9.0,6.0,0.0,1.0,0.0,11.0,112.0
Benin,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,72.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,17.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,14.0,1.0
Philippines,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,92.0,0.0,4.0,0.0,0.0,17.0,3.0,441.0,6.0,0.0,30.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,27.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,23.0,13.0,1.0,4.0,2.0,1.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,6.0,17.0,2.0,551.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,31.0,0.0,18.0,1.0,0.0,0.0,9.0,36.0,1.0,13.0,3.0,12.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,2.0,0.0,1.0,0.0,7.0,16.0
Réunion,0.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,4.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,14.0
Oman,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,4.0,2.0,30.0,0.0,0.0,1.0,0.0,24.0,28.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,17.0
Panama,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,9.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,25.0,0.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,8.0,1.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,25.0
Syrian Arab Republic,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,22.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,358.0,0.0,64.0,0.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,5.0,3.0,0.0,0.0,8.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,33.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,147.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,77.0,0.0,4.0,0.0,0.0,0.0,1.0,11.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,3.0,0.0,0.0,0.0,1.0,5.0
Sudan,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,71.0,1.0,98.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,80.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,4.0,0.0,0.0,17.0,7.0
Chad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,18.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
Afghanistan,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,21.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,25.0,2.0,26.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,331.0,40.0,12.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,32.0,2.0,0.0,0.0,0.0,2.0,3.0
Madagascar,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,25.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,260.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
Morocco,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,79.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,56.0,0.0,39.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,2.0,7.0,0.0,0.0,4.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,87.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,225.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,3.0
"Taiwan, Province of China",0.0,0.0,0.0,47.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,0.0,46.0,0.0,4.0,2.0,0.0,11.0,2.0,28.0,0.0,0.0,18.0,0.0,8.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,25.0,34.0,12.0,1.0,14.0,1.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,41.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0
